***** Bayesian optimization *****
Parameters settings:
[{'name': 'dropout', 'type': 'continuous', 'domain': (0.0, 0.9), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'float'>}, {'name': 'kernel_reg', 'type': 'continuous', 'domain': (0.0, 0.02), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'float'>}, {'name': 'bias_reg', 'type': 'continuous', 'domain': (0.0, 0.02), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'float'>}, {'name': 'batch_norm', 'type': 'categorical', 'domain': (0, 1), 'domain_v': (True, False), 'dimensionality': 1, 'cast': None}, {'name': 'batch_size', 'type': 'discrete', 'domain': (64, 128, 256), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'int'>}]
*********************************
Best score: 0.6201649425265502
Best params: {'dropout': 0.1846992946549152, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 64}
*********************************

Runs:
1.0682091172009751: {'dropout': 0.7028375807116374, 'kernel_reg': 0.02, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 256}
0.6743071863898636: {'dropout': 0.549493700409698, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 256}
0.7243274371158305: {'dropout': 0.5176746913180874, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': False, 'batch_size': 64}
1.3763284567676402: {'dropout': 0.6127791646389001, 'kernel_reg': 0.02, 'bias_reg': 0.0, 'batch_norm': False, 'batch_size': 64}
0.6914027767940898: {'dropout': 0.4409674468497116, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': False, 'batch_size': 64}
1.2315533588760605: {'dropout': 0.5908643656704687, 'kernel_reg': 0.02, 'bias_reg': 0.02, 'batch_norm': False, 'batch_size': 128}
1.1198285460181778: {'dropout': 0.6556175740854501, 'kernel_reg': 0.02, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 128}
0.7000137955806804: {'dropout': 0.0, 'kernel_reg': 0.0, 'bias_reg': 0.0, 'batch_norm': False, 'batch_size': 64}
0.7285889922324124: {'dropout': 0.6180724332376689, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': False, 'batch_size': 256}
1.2315043104142023: {'dropout': 0.7071284182153088, 'kernel_reg': 0.02, 'bias_reg': 0.0, 'batch_norm': False, 'batch_size': 256}
0.6944171973280482: {'dropout': 0.5433451894334115, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': False, 'batch_size': 256}
1.5285650154583872: {'dropout': 0.9, 'kernel_reg': 0.02, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 64}
0.6618239119177148: {'dropout': 0.5282993651155394, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 64}
1.0708713577482332: {'dropout': 0.46809709364339974, 'kernel_reg': 0.02, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 64}
0.6558164376720126: {'dropout': 0.5817894620422212, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 64}
0.6326726836050306: {'dropout': 0.1426258126906669, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 64}
0.954716489812077: {'dropout': 0.10968392544651037, 'kernel_reg': 0.02, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 64}
0.6201649425265502: {'dropout': 0.1846992946549152, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 64}
0.9608736379403228: {'dropout': 0.07097242953878166, 'kernel_reg': 0.02, 'bias_reg': 0.02, 'batch_norm': False, 'batch_size': 64}
0.6683979525196801: {'dropout': 0.0, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 256}
0.9863130772398323: {'dropout': 0.5819895372802378, 'kernel_reg': 0.02, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 256}
0.6479703157167579: {'dropout': 0.49235238119533103, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 256}
0.635297510836453: {'dropout': 0.05836613974821141, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 256}
0.6377057725490156: {'dropout': 0.1121590372173261, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 128}
0.9266509973532504: {'dropout': 0.13089722675717091, 'kernel_reg': 0.02, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 128}
0.6482834992034808: {'dropout': 0.07615664178651577, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 128}
